Station.ID,Capacity,Station.Name,Location
167,19,"Eccleston Place, Victoria","(51.49395,-0.147624)"
168,19,"Argyll Road, Kensington","(51.500401,-0.195455)"
169,18,"Porchester Place, Paddington","(51.514746,-0.165164)"
170,30,"Hardwick Street, Clerkenwell","(51.527842,-0.108068)"
171,14,"Collingham Gardens, Earl's Court","(51.491615,-0.186753)"
172,19,"Sumner Place, South Kensington","(51.491211,-0.173715)"
173,15,"Waterloo Road, South Bank","(51.50486,-0.113001)"
174,36,"Strand, Strand","(51.512529,-0.115163)"
175,26,"Appold Street, Liverpool Street","(51.521743,-0.081118)"
176,23,"Gloucester Terrace, Bayswater","(51.517919,-0.188098)"
177,25,"Ashley Place, Victoria","(51.49616,-0.140947)"
178,19,"Warwick Square, Pimlico","(51.489856,-0.141923)"
180,17,"North Audley Street, Mayfair","(51.512911,-0.153645)"
181,21,"Belgrave Square, Belgravia","(51.499412,-0.152317)"
182,18,"Bell Street , Marylebone","(51.522029,-0.165842)"
183,24,"Riverlight North, Nine Elms","(51.482362,-0.136123)"
184,34,"Portland Place, Marylebone","(51.520715,-0.145211)"
185,14,"Alderney Street, Pimlico","(51.488057,-0.140741)"
186,16,"South Wharf Road, Paddington","(51.517335,-0.17581)"
191,28,"Hyde Park Corner, Hyde Park","(51.503117,-0.15352)"
192,16,"Wardour Street, Soho","(51.512515,-0.133201)"
193,60,"Bankside Mix, Bankside","(51.505817,-0.100186)"
199,24,"Great Tower Street, Monument","(51.510484,-0.082989)"
200,14,"LMU Commercial Road, Whitechapel","(51.514924,-0.066078)"
202,37,"Leman Street, Aldgate","(51.512363,-0.069542)"
203,15,"West Smithfield Rotunda, Farringdon","(51.518218,-0.100791)"
204,19,"Margery Street, Clerkenwell","(51.526599,-0.112432)"
206,36,"New Road 1 , Whitechapel","(51.518154,-0.062697)"
207,18,"Grosvenor Crescent, Belgravia","(51.501352,-0.153194)"
208,20,"Mallory Street, Marylebone","(51.525051,-0.166304)"
209,30,"Denyer Street, Knightsbridge","(51.493583,-0.165101)"
210,21,"Hinde Street, Marylebone","(51.516814,-0.151926)"
211,34,"Cadogan Place, Knightsbridge","(51.494645,-0.158105)"
212,17,"Campden Hill Road, Notting Hill","(51.506584,-0.199004)"
213,36,"Wellington Arch, Hyde Park","(51.50274,-0.149569)"
214,32,"Endsleigh Gardens, Euston","(51.526838,-0.130504)"
215,54,"Moorfields, Moorgate","(51.519069,-0.088285)"
216,30,"Old Brompton Road, South Kensington","(51.490945,-0.18119)"
217,16,"Wormwood Street, Liverpool Street","(51.516154,-0.082422)"
218,20,"St. Luke's Church, Chelsea","(51.489716,-0.170194)"
219,29,"Bramham Gardens, Earl's Court","(51.490163,-0.190393)"
